"PK","SK","active_subs","amount","balance_credit","balance_mobile_money","details","phone","transaction_type","Type"
"USER#+243891234567","METADATA","[{""M"":{""name"":{""S"":""Forfait Data 1GB""},""id"":{""S"":""F_D_1GB""},""expiration_date"":{""S"":""2025-11-22T10:00:00Z""},""activation_date"":{""S"":""2025-11-15T10:00:00Z""}}}]","","15.75","25000.5","","'+243891234567","","USER_PROFILE"
"USER#+243891234567","TRANS#2025-11-16T15:30:00Z","","'-5","","","Activation Forfait Data 1GB (F_D_1GB)","","SUBSCRIPTION_ACTIVATION","TRANSACTION"
"USER#+243891234567","TRANS#2025-11-18T08:15:00Z","","'-1000","","","Transfert d'argent vers +243859876543","","MOBILE_MONEY_TRANSFER","TRANSACTION"
"USER#+243891234567","TRANS#2025-11-19T10:00:00Z","","10","","","Achat de crédit par carte bancaire","","CREDIT_PURCHASE","TRANSACTION"
"USER#+243851112229","METADATA","[{""M"":{""name"":{""S"":""Pack Premium Mensuel""},""id"":{""S"":""F_P_PREMIUM""},""expiration_date"":{""S"":""2025-12-19T14:00:00Z""},""activation_date"":{""S"":""2025-11-19T14:00:00Z""}}}]","","'-10","82000","","'+243851112229","","USER_PROFILE"
"USER#+243851112229","TRANS#2025-11-19T14:00:00Z","","'-30","","","Activation Pack Premium Mensuel (F_P_PREMIUM)","","SUBSCRIPTION_ACTIVATION","TRANSACTION"
"USER#+243851112229","TRANS#2025-11-19T15:00:00Z","","'-10","","","Activation de Forfait (Crédit)","","CREDIT_ACTIVATION","TRANSACTION"
"USER#+243859876543","METADATA","[]","","2.1","500","","'+243859876543","","USER_PROFILE"
"USER#+243859876543","TRANS#2025-11-18T08:15:00Z","","1000","","","Réception de transfert de +243891234567","","MOBILE_MONEY_TRANSFER","TRANSACTION"
"USER#+243859876543","TRANS#2025-11-19T11:00:00Z","","'-3.5","","","Activation Pack Voix & SMS 50 (F_V_50M)","","SUBSCRIPTION_ACTIVATION","TRANSACTION"
